filepath,width,height,bboxes
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009604.jpg,1600,1200,"[{'class': 'Truck', 'x1': 90, 'x2': 1006, 'y1': 1, 'y2': 871}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007397.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 323, 'x2': 884, 'y1': 345, 'y2': 888}, {'class': 'Sedan', 'x1': 321, 'x2': 879, 'y1': 332, 'y2': 877}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002916.jpg,1600,1200,"[{'class': 'SUV', 'x1': 643, 'x2': 1212, 'y1': 21, 'y2': 626}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009682.jpg,1600,1200,"[{'class': 'Truck', 'x1': 765, 'x2': 1600, 'y1': 1, 'y2': 829}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002914.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 589, 'x2': 1180, 'y1': 5, 'y2': 570}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003533.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 795, 'x2': 1402, 'y1': 1, 'y2': 603}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006604.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 804, 'x2': 1345, 'y1': 193, 'y2': 718}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000684.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 481, 'x2': 918, 'y1': 332, 'y2': 833}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009006.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 618, 'x2': 1254, 'y1': 28, 'y2': 704}, {'class': 'Microbus', 'x1': 616, 'x2': 1254, 'y1': 34, 'y2': 696}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002983.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 888, 'x2': 1386, 'y1': 1, 'y2': 584}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008777.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 993, 'x2': 1582, 'y1': 385, 'y2': 976}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005865.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 728, 'x2': 1250, 'y1': 130, 'y2': 619}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001646.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 929, 'x2': 1310, 'y1': 251, 'y2': 680}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009310.jpg,1600,1200,"[{'class': 'Truck', 'x1': 684, 'x2': 1420, 'y1': 1, 'y2': 550}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000313.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 540, 'x2': 918, 'y1': 19, 'y2': 510}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008006.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 957, 'x2': 1589, 'y1': 454, 'y2': 1101}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009582.jpg,1600,1200,"[{'class': 'Truck', 'x1': 455, 'x2': 1323, 'y1': 35, 'y2': 715}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004386.jpg,1600,1200,"[{'class': 'SUV', 'x1': 644, 'x2': 1170, 'y1': 98, 'y2': 731}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006130.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 765, 'x2': 1343, 'y1': 289, 'y2': 853}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004343.jpg,1600,1200,"[{'class': 'SUV', 'x1': 733, 'x2': 1382, 'y1': 289, 'y2': 1061}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003189.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 836, 'x2': 1545, 'y1': 1, 'y2': 804}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003216.jpg,1600,1200,"[{'class': 'SUV', 'x1': 772, 'x2': 1418, 'y1': 41, 'y2': 801}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001629.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 349, 'x2': 785, 'y1': 286, 'y2': 867}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009185.jpg,1600,1200,"[{'class': 'Truck', 'x1': 643, 'x2': 1475, 'y1': 1, 'y2': 642}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000880.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1, 'x2': 415, 'y1': 232, 'y2': 687}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001067.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 570, 'x2': 883, 'y1': 95, 'y2': 454}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006362.jpg,1600,1200,"[{'class': 'SUV', 'x1': 806, 'x2': 1423, 'y1': 23, 'y2': 662}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009529.jpg,1600,1200,"[{'class': 'Truck', 'x1': 489, 'x2': 1348, 'y1': 35, 'y2': 678}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005080.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 789, 'x2': 1386, 'y1': 422, 'y2': 1058}, {'class': 'Sedan', 'x1': 791, 'x2': 1384, 'y1': 422, 'y2': 1037}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001222.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 938, 'x2': 1246, 'y1': 11, 'y2': 467}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000117.jpg,1920,1080,"[{'class': 'Microbus', 'x1': 943, 'x2': 1321, 'y1': 151, 'y2': 720}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009166.jpg,1600,1200,"[{'class': 'Truck', 'x1': 559, 'x2': 1427, 'y1': 1, 'y2': 667}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003179.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 1033, 'x2': 1600, 'y1': 113, 'y2': 1035}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009369.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 536, 'x2': 1305, 'y1': 1, 'y2': 600}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007723.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 556, 'x2': 1056, 'y1': 124, 'y2': 603}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004325.jpg,1600,1200,"[{'class': 'SUV', 'x1': 452, 'x2': 1056, 'y1': 90, 'y2': 715}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002888.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 904, 'x2': 1448, 'y1': 166, 'y2': 820}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008300.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 892, 'x2': 1438, 'y1': 191, 'y2': 702}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006968.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 985, 'x2': 1541, 'y1': 324, 'y2': 861}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003366.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 987, 'x2': 1600, 'y1': 1, 'y2': 832}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005238.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 765, 'x2': 1280, 'y1': 153, 'y2': 659}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008332.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 638, 'x2': 1205, 'y1': 159, 'y2': 707}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002747.jpg,1600,1200,"[{'class': 'Bus', 'x1': 888, 'x2': 1600, 'y1': 8, 'y2': 668}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000247.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 978, 'x2': 1405, 'y1': 400, 'y2': 909}, {'class': 'Minivan', 'x1': 10, 'x2': 538, 'y1': 130, 'y2': 668}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006653.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 735, 'x2': 1274, 'y1': 151, 'y2': 646}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006388.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 758, 'x2': 1319, 'y1': 233, 'y2': 787}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006633.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 625, 'x2': 1162, 'y1': 209, 'y2': 736}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009596.jpg,1600,1200,"[{'class': 'Truck', 'x1': 627, 'x2': 1600, 'y1': 110, 'y2': 988}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007937.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 653, 'x2': 1222, 'y1': 318, 'y2': 872}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006788.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 657, 'x2': 1185, 'y1': 265, 'y2': 768}, {'class': 'Sedan', 'x1': 657, 'x2': 1190, 'y1': 263, 'y2': 768}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002192.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 627, 'x2': 938, 'y1': 89, 'y2': 456}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002574.jpg,1600,1200,"[{'class': 'Bus', 'x1': 607, 'x2': 1322, 'y1': 1, 'y2': 606}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003519.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 813, 'x2': 1486, 'y1': 1, 'y2': 896}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007473.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 892, 'x2': 1416, 'y1': 233, 'y2': 712}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008416.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 733, 'x2': 1364, 'y1': 414, 'y2': 1013}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001050.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 394, 'x2': 803, 'y1': 401, 'y2': 900}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005931.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 664, 'x2': 1235, 'y1': 425, 'y2': 1032}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007202.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 549, 'x2': 1075, 'y1': 132, 'y2': 651}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008829.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 972, 'x2': 1554, 'y1': 326, 'y2': 891}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006962.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 575, 'x2': 1069, 'y1': 92, 'y2': 550}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004464.jpg,1600,1200,"[{'class': 'SUV', 'x1': 562, 'x2': 1080, 'y1': 18, 'y2': 539}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002680.jpg,1600,1200,"[{'class': 'Bus', 'x1': 662, 'x2': 1574, 'y1': 38, 'y2': 735}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009762.jpg,1600,1200,"[{'class': 'Truck', 'x1': 702, 'x2': 1500, 'y1': 33, 'y2': 776}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004465.jpg,1600,1200,"[{'class': 'SUV', 'x1': 972, 'x2': 1589, 'y1': 108, 'y2': 813}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005246.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 756, 'x2': 1267, 'y1': 212, 'y2': 734}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000568.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 519, 'x2': 880, 'y1': 223, 'y2': 652}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007897.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 817, 'x2': 1388, 'y1': 204, 'y2': 742}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007812.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 517, 'x2': 1015, 'y1': 76, 'y2': 507}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000028.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1136, 'x2': 1432, 'y1': 7, 'y2': 277}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000649.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 1212, 'x2': 1655, 'y1': 339, 'y2': 891}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003551.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 725, 'x2': 1361, 'y1': 108, 'y2': 784}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008135.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 597, 'x2': 1095, 'y1': 223, 'y2': 678}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005589.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 545, 'x2': 1172, 'y1': 233, 'y2': 869}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004248.jpg,1600,1200,"[{'class': 'SUV', 'x1': 567, 'x2': 1084, 'y1': 23, 'y2': 566}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005906.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 4, 'x2': 608, 'y1': 390, 'y2': 1008}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005935.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 597, 'x2': 1106, 'y1': 188, 'y2': 694}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008561.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 974, 'x2': 1487, 'y1': 263, 'y2': 776}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007493.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 843, 'x2': 1438, 'y1': 308, 'y2': 875}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009130.jpg,1600,1200,"[{'class': 'Truck', 'x1': 548, 'x2': 1504, 'y1': 1, 'y2': 762}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001756.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 463, 'x2': 869, 'y1': 405, 'y2': 894}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008175.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 685, 'x2': 1207, 'y1': 177, 'y2': 662}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009156.jpg,1600,1200,"[{'class': 'Truck', 'x1': 557, 'x2': 1554, 'y1': 1, 'y2': 960}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002457.jpg,1600,1200,"[{'class': 'Bus', 'x1': 463, 'x2': 1426, 'y1': 45, 'y2': 864}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004345.jpg,1600,1200,"[{'class': 'SUV', 'x1': 672, 'x2': 1229, 'y1': 7, 'y2': 664}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0000694.jpg,1920,1080,"[{'class': 'Minivan', 'x1': 228, 'x2': 763, 'y1': 306, 'y2': 928}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006812.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 1006, 'x2': 1558, 'y1': 297, 'y2': 827}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002851.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 793, 'x2': 1486, 'y1': 5, 'y2': 729}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005871.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 871, 'x2': 1474, 'y1': 132, 'y2': 739}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006245.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 506, 'x2': 1205, 'y1': 451, 'y2': 1159}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002458.jpg,1600,1200,"[{'class': 'Bus', 'x1': 468, 'x2': 1430, 'y1': 53, 'y2': 857}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009247.jpg,1600,1200,"[{'class': 'Truck', 'x1': 505, 'x2': 1468, 'y1': 19, 'y2': 751}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004347.jpg,1600,1200,"[{'class': 'SUV', 'x1': 498, 'x2': 1138, 'y1': 28, 'y2': 776}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006159.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 489, 'x2': 1075, 'y1': 345, 'y2': 922}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001039.jpg,1920,1080,"[{'class': 'Sedan', 'x1': 540, 'x2': 851, 'y1': 110, 'y2': 452}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007197.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 758, 'x2': 1306, 'y1': 180, 'y2': 734}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009660.jpg,1600,1200,"[{'class': 'Truck', 'x1': 602, 'x2': 1600, 'y1': 46, 'y2': 996}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007211.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 950, 'x2': 1535, 'y1': 422, 'y2': 1040}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006902.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 715, 'x2': 1287, 'y1': 326, 'y2': 864}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0006780.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 737, 'x2': 1216, 'y1': 44, 'y2': 491}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002840.jpg,1600,1200,"[{'class': 'Microbus', 'x1': 586, 'x2': 1468, 'y1': 38, 'y2': 848}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004348.jpg,1600,1200,"[{'class': 'SUV', 'x1': 681, 'x2': 1261, 'y1': 119, 'y2': 763}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004507.jpg,1600,1200,"[{'class': 'SUV', 'x1': 575, 'x2': 1116, 'y1': 47, 'y2': 646}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008028.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 485, 'x2': 1095, 'y1': 239, 'y2': 800}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0009202.jpg,1600,1200,"[{'class': 'Truck', 'x1': 582, 'x2': 1361, 'y1': 46, 'y2': 723}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0005344.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 815, 'x2': 1392, 'y1': 217, 'y2': 827}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007696.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 433, 'x2': 955, 'y1': 223, 'y2': 726}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0007903.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 689, 'x2': 1211, 'y1': 164, 'y2': 670}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008093.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 942, 'x2': 1517, 'y1': 321, 'y2': 885}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0002359.jpg,1600,1200,"[{'class': 'Bus', 'x1': 605, 'x2': 1423, 'y1': 4, 'y2': 563}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0001309.jpg,1920,1080,"[{'class': 'SUV', 'x1': 435, 'x2': 897, 'y1': 304, 'y2': 924}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0003554.jpg,1600,1200,"[{'class': 'Minivan', 'x1': 602, 'x2': 1223, 'y1': 41, 'y2': 562}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0008236.jpg,1600,1200,"[{'class': 'Sedan', 'x1': 743, 'x2': 1334, 'y1': 297, 'y2': 859}]"
/content/drive/My Drive/Dataset/BIT-Vehicle/BITVehicle_Dataset/vehicle_0004815.jpg,1600,1200,"[{'class': 'SUV', 'x1': 688, 'x2': 1250, 'y1': 13, 'y2': 681}]"
